LCL#,Author,Title,Lang,Perseus Orig Text,Perseus Eng Trans,TLG/PHI ID,Notes
G088,Xenophon,Hellenica (Bks 1-5),Gk,Y,Y,tlg0032,
G089,Xenophon,Hellenica (Bks 6-7). Anabasis (Bks 1-3),Gk,Y,Y,tlg0032,
G090,Xenophon,Anabasis (Bks 4-7). Symposium. Apology,Gk,Y,Y,tlg0032,
G092,Clement of Alexandria,Exhortation to Greeks. Rich Man's Salvation,Gk,N,N,tlg0555,
G093,Pausanias,Description of Greece I (Bks 1-2),Gk,Y,Y,tlg0525,
G098,Plutarch,Lives VI: Dion/Brutus. Timoleon/Aemilius Paulus,Gk,Y,Y,tlg0007,
G099,Plutarch,Lives VII: Demosthenes/Cicero. Alexander/Caesar,Gk,Y,Y,tlg0007,
G100,Plutarch,Lives VIII: Sertorius/Eumenes. Phocion/Cato Younger,Gk,Y,Y,tlg0007,
G101,Plutarch,Lives IX: Demetrius/Antony. Pyrrhus/Marius,Gk,Y,Y,tlg0007,
G102,Plutarch,Lives X: Agis/Cleomenes. Gracchi. Philopoemen/Flamininus,Gk,Y,Y,tlg0007,
G103,Plutarch,Lives XI: Aratus. Artaxerxes. Galba. Otho,Gk,Y,Y,tlg0007,
G104,Homer,Odyssey I (Bks 1-12),Gk,Y,Y,tlg0012,
G105,Homer,Odyssey II (Bks 13-24),Gk,Y,Y,tlg0012,
G106,Aeschines,Speeches,Gk,Y,Y,tlg0026,
G107,Procopius,Wars III (Bks 5-6.15),Gk,N,N,tlg4029,
G108,Thucydides,History I (Bks 1-2),Gk,Y,Y,tlg0003,
G109,Thucydides,History II (Bks 3-4),Gk,Y,Y,tlg0003,
G110,Thucydides,History III (Bks 5-6),Gk,Y,Y,tlg0003,
G117,Herodotus,Histories I (Bks 1-2),Gk,Y,Y,tlg0016,
G118,Herodotus,Histories II (Bks 3-4),Gk,Y,Y,tlg0016,
G119,Herodotus,Histories III (Bks 5-7),Gk,Y,Y,tlg0016,
G120,Herodotus,Histories IV (Bks 8-9),Gk,Y,Y,tlg0016,
G121,Apollodorus,The Library I,Gk,Y,Y,tlg0548,
G122,Apollodorus,The Library II,Gk,Y,Y,tlg0548,
G123,Plato,VII: Theaetetus. Sophist,Gk,Y,Y,tlg0059,
G128,Polybius,Histories I (Bks 1-2),Gk,Y,Y,tlg0543,
G129,Callimachus/Lycophron/Aratus,"Hymns, Epigrams. Lycophron. Aratus",Gk,Y,P,tlg0533,
G130,Lucian,Works III,Gk,Y,N,tlg0062,
G131,Epictetus,Discourses I (Bks 1-2),Gk,Y,N,tlg0557,Greek in Perseus
G132,Menander,Vol I,Gk,P,N,tlg0541,Some plays in Perseus
G134,Philostratus/Eunapius,Lives of the Sophists,Gk,N,N,tlg0638,
G137,Polybius,Histories II (Bks 3-4),Gk,Y,Y,tlg0543,
G138,Polybius,Histories III (Bks 5-8),Gk,Y,Y,tlg0543,
G142,Sappho/Alcaeus,Greek Lyric I,Gk,P,N,,Some fragments
G143,Anacreon et al.,Greek Lyric II,Gk,P,N,,
G144,Corinna/Bacchylides et al.,Greek Lyric III (old) / V (new),Gk,P,N,,
G145,Aeschylus,Vol I: Persians. Seven. Suppliants. Prometheus,Gk,Y,Y,tlg0085,
G146,Aeschylus,Vol II: Oresteia (Agamemnon. Libation-Bearers. Eumenides),Gk,Y,Y,tlg0085,
G147,Hippocrates,"Works I: Ancient Medicine. Airs/Waters. Epidemics 1,3. Oath",Gk,Y,Y,tlg0627,
G148,Hippocrates,Works II: Prognostic. Sacred Disease. etc.,Gk,Y,Y,tlg0627,
G149,Hippocrates,Works III: Wounds in Head. Surgery. Fractures. Joints,Gk,Y,N,tlg0627,
G150,Hippocrates,Works IV: Nature of Man. Aphorisms. Regimen,Gk,Y,Y,tlg0627,
G153,Eusebius,Ecclesiastical History I (Bks 1-5),Gk,N,N,tlg2018,
G155,Demosthenes,Orations II,Gk,Y,Y,tlg0014,
G156,Aeneas Tacticus/Asclepiodotus/Onasander,Military Writers,Gk,P,N,,Aeneas Tacticus partial
G157,Julian,Works III: Letters. Against Galileans. Fragments,Gk,N,N,tlg2003,
G159,Polybius,Histories IV (Bks 9-15),Gk,Y,Y,tlg0543,
G160,Polybius,Histories V (Bks 16-27),Gk,Y,Y,tlg0543,
G161,Polybius,Histories VI (Bks 28-39),Gk,Y,Y,tlg0543,
G162,Lucian,Works IV,Gk,Y,N,tlg0062,
G164,Plato,VIII: Statesman. Philebus. Ion,Gk,Y,Y,tlg0059,
G165,Plato,IV: Laches. Protagoras. Meno. Euthydemus,Gk,Y,Y,tlg0059,
G166,Plato,V: Lysis. Symposium. Gorgias,Gk,Y,Y,tlg0059,
G167,Plato,VI: Cratylus. Parmenides. Greater/Lesser Hippias,Gk,Y,Y,tlg0059,
G168,Xenophon,Memorabilia. Oeconomicus. Symposium. Apology,Gk,Y,Y,tlg0032,
G169,Thucydides,History IV (Bks 7-8),Gk,Y,Y,tlg0003,
G170,Homer,Iliad I (Bks 1-12),Gk,Y,Y,tlg0012,
G171,Homer,Iliad II (Bks 13-24),Gk,Y,Y,tlg0012,
G173,Procopius,Wars IV (Bks 6.16-7.35),Gk,N,N,tlg4029,
G175,Dio Cassius,Roman History VII (Bks 56-60),Gk,Y,Y,tlg0385,
G176,Dio Cassius,Roman History VIII (Bks 61-70),Gk,Y,Y,tlg0385,
G177,Dio Cassius,Roman History IX (Bks 71-80),Gk,Y,Y,tlg0385,
G178,Aristophanes,Vol I: Acharnians. Knights,Gk,Y,Y,tlg0019,
G179,Aristophanes,Vol III: Birds. Lysistrata. Women at Thesmophoria,Gk,Y,Y,tlg0019,
G180,Aristophanes,Vol IV: Frogs. Assemblywomen. Wealth,Gk,Y,Y,tlg0019,
G182,Strabo,Geography III (Bks 6-7),Gk,Y,Y,tlg0099,
G183,Xenophon,Scripta Minora,Gk,Y,Y,tlg0032,
G184,Diogenes Laertius,Lives of Eminent Philosophers I (Bks 1-5),Gk,Y,Y,tlg0004,
G185,Diogenes Laertius,Lives of Eminent Philosophers II (Bks 6-10),Gk,Y,Y,tlg0004,
G186,Josephus,I: Life. Against Apion,Gk,Y,Y,tlg0526,
G187,Plato,X: Laws (Bks 1-6),Gk,Y,Y,tlg0059,
G188,Pausanias,Description of Greece II (Bks 3-5),Gk,Y,Y,tlg0525,
G190,Basil,Letters I (1-58),Gk,N,N,tlg2040,
G192,Plato,XI: Laws (Bks 7-12),Gk,Y,Y,tlg0059,
G193,Aristotle,Art of Rhetoric,Gk,Y,Y,tlg0086,
G196,Strabo,Geography IV (Bks 8-9),Gk,Y,Y,tlg0099,
G197,Plutarch,Moralia I,Gk,Y,Y,tlg0007,
G199,Aristotle/Longinus/Demetrius,Poetics. On the Sublime. On Style,Gk,Y,Y,tlg0086,
G201,Plato,XII: Charmides. Alcibiades. Hipparchus. etc.,Gk,Y,Y,tlg0059,
G202,Isaeus,Speeches,Gk,Y,Y,tlg0017,
G203,Josephus,II: Jewish War (Bks 1-3),Gk,Y,Y,tlg0526,
G204,Athenaeus,Deipnosophists I (Bks 1-3.106e),Gk,Y,N,tlg0008,Greek in Perseus
G208,Athenaeus,Deipnosophists II (Bks 3.106e-5),Gk,Y,N,tlg0008,
G209,Isocrates,Works I,Gk,Y,Y,tlg0010,
G210,Josephus,III: Jewish War (Bks 4-7),Gk,Y,Y,tlg0526,
G211,Strabo,Geography V (Bks 10-12),Gk,Y,Y,tlg0099,
G215,Basil,Letters II (59-185),Gk,N,N,tlg2040,
G217,Procopius,Wars V (Bks 7.36-8),Gk,N,N,tlg4029,
G218,Epictetus,Discourses II (Bks 3-4). Fragments. Encheiridion,Gk,Y,N,tlg0557,
G219,Oppian/Colluthus/Tryphiodorus,Halieutica. Rape of Helen. Taking of Ilios,Gk,P,N,tlg0024,Oppian in Perseus
G222,Plutarch,Moralia II,Gk,Y,Y,tlg0007,
G223,Strabo,Geography VI (Bks 13-14),Gk,Y,Y,tlg0099,
G224,Athenaeus,Deipnosophists III (Bks 6-7),Gk,Y,N,tlg0008,
G225,Theophrastus,Characters. Herodas: Mimes. Sophron,Gk,Y,Y,tlg0093,
G226,Philo,Works I,Gk,Y,Y,tlg0018,
G227,Philo,Works II,Gk,Y,Y,tlg0018,
G228,Aristotle,Physics I (Bks 1-4),Gk,Y,Y,tlg0086,
G229,Isocrates,Works II,Gk,Y,Y,tlg0010,
G234,Plato,IX: Timaeus. Critias. Cleitophon. Menexenus. Epistles,Gk,Y,Y,tlg0059,
G235,Athenaeus,Deipnosophists IV (Bks 8-10),Gk,Y,N,tlg0008,
G236,Arrian,Anabasis of Alexander I (Bks 1-4),Gk,Y,Y,tlg0074,
G237,Plato,V: Republic (Bks 1-5),Gk,Y,Y,tlg0059,
G238,Demosthenes,"Orations I (1-18, 20)",Gk,Y,Y,tlg0014,
G241,Strabo,Geography VII (Bks 15-16),Gk,Y,Y,tlg0099,
G242,Josephus,IV: Jewish Antiquities (Bks 1-4),Gk,Y,Y,tlg0526,
G243,Basil,Letters III (186-248),Gk,N,N,tlg2040,
G244,Lysias,Speeches,Gk,Y,Y,tlg0540,
G245,Plutarch,Moralia III,Gk,Y,Y,tlg0007,
G247,Philo,Works III,Gk,Y,Y,tlg0018,
G255,Aristotle,Physics II (Bks 5-8),Gk,Y,Y,tlg0086,
G256,Philostratus Elder/Younger/Callistratus,Imagines. Descriptions,Gk,N,N,,
G257,Dio Chrysostom,Discourses I (1-11),Gk,Y,N,tlg0612,Greek in Perseus
G258,[Various],Greek Elegiac Poetry,Gk,P,P,,"Theognis, Solon partial"
G259,[Various],Greek Iambic Poetry,Gk,P,N,,Archilochus partial
G261,Philo,Works IV,Gk,Y,Y,tlg0018,
G264,Aristotle,Politics,Gk,Y,Y,tlg0086,
G265,Eusebius,Ecclesiastical History II (Bks 6-10),Gk,N,N,tlg2018,
G266,[Various],Select Papyri I: Private Documents,Gk,N,N,,
G267,Strabo,Geography VIII (Bk 17),Gk,Y,Y,tlg0099,
G269,Arrian,Anabasis of Alexander II (Bks 5-7). Indica,Gk,Y,Y,tlg0074,
G270,Basil,Letters IV (249-368),Gk,N,N,tlg2040,
G271,Aristotle,Metaphysics I (Bks 1-9),Gk,Y,Y,tlg0086,
G272,Pausanias,Description of Greece III,Gk,Y,Y,tlg0525,
G273,Sextus Empiricus,Outlines of Pyrrhonism,Gk,Y,N,tlg0544,Greek in Perseus
G274,Athenaeus,Deipnosophists V (Bks 10.420-11),Gk,Y,N,tlg0008,
G275,Philo,Works V,Gk,Y,Y,tlg0018,
G276,Plato,VI: Republic (Bks 6-10),Gk,Y,Y,tlg0059,
G279,Diodorus Siculus,Library of History I,Gk,Y,Y,tlg0060,
G281,Josephus,V: Jewish Antiquities (Bks 5-8),Gk,Y,Y,tlg0526,
G282,[Various],Select Papyri II: Public Documents,Gk,N,N,,
G285,Aristotle,Athenian Constitution. Eudemian Ethics. Virtues/Vices,Gk,Y,Y,tlg0086,
G287,Aristotle,Metaphysics II (Bks 10-14). Oeconomica. Magna Moralia,Gk,Y,P,tlg0086,
G288,Aristotle,On the Soul. Parva Naturalia. On Breath,Gk,Y,Y,tlg0086,
G289,Philo,Works VI,Gk,Y,Y,tlg0018,
G290,Procopius,VI: Anecdota (Secret History). Buildings,Gk,N,N,tlg4029,
G291,Sextus Empiricus,Against the Logicians,Gk,Y,N,tlg0544,
G297,Pausanias,Description of Greece IV,Gk,Y,Y,tlg0525,
G298,Pausanias,Description of Greece V (incl. maps),Gk,Y,Y,tlg0525,
G299,Demosthenes,Orations III,Gk,Y,Y,tlg0014,
G302,Lucian,Works V,Gk,Y,N,tlg0062,
G303,Diodorus Siculus,Library of History II,Gk,Y,Y,tlg0060,
G305,Plutarch,Moralia IV,Gk,Y,Y,tlg0007,
G306,Plutarch,Moralia V,Gk,Y,Y,tlg0007,
G307,Aristotle,Minor Works,Gk,P,P,tlg0086,
G308,[Various],Minor Attic Orators I: Antiphon. Andocides,Gk,Y,Y,,
G311,Sextus Empiricus,Against Physicists. Against Ethicists,Gk,Y,N,tlg0544,
G316,Aristotle,Problems I (Bks 1-21),Gk,Y,N,tlg0086,
G317,Aristotle,Problems II (Bks 22-38). Rhetorica ad Alexandrum,Gk,Y,N,tlg0086,
G318,Demosthenes,Orations IV: Private Orations,Gk,Y,Y,tlg0014,
G319,Dionysius of Halicarnassus,Roman Antiquities I (Bks 1-2),Gk,Y,Y,tlg0081,
G320,Philo,Works VII,Gk,Y,Y,tlg0018,
G321,Plutarch,Moralia X,Gk,Y,Y,tlg0007,
G323,Aristotle,Parts of Animals. Movement. Progression,Gk,Y,Y,tlg0086,
G325,Aristotle,Categories. On Interpretation. Prior Analytics,Gk,Y,Y,tlg0086,
G326,Josephus,VI: Jewish Antiquities (Bks 9-11),Gk,Y,Y,tlg0526,
G327,Athenaeus,Deipnosophists VI (Bks 13-14.653b),Gk,Y,N,tlg0008,
G332,[Various],Select Papyri III: Literary Papyri (Poetry),Gk,N,N,,
G335,[Various],Greek Mathematical Works I: Thales to Euclid,Gk,N,N,,
G337,Plutarch,Moralia VI,Gk,Y,Y,tlg0007,
G338,Aristotle,On the Heavens,Gk,Y,Y,tlg0086,
G339,Dio Chrysostom,Discourses II (12-30),Gk,Y,N,tlg0612,
G340,Diodorus Siculus,Library of History III,Gk,Y,Y,tlg0060,
G341,Philo,Works VIII,Gk,Y,Y,tlg0018,
G343,Procopius,VII: Buildings. General Index,Gk,N,N,tlg4029,
G344,Nonnus,Dionysiaca I (Bks 1-15),Gk,N,N,tlg2045,
G345,Athenaeus,Deipnosophists VII (Bks 14.653b-15),Gk,Y,N,tlg0008,
G346,Demosthenes,Orations V,Gk,Y,Y,tlg0014,
G347,Dionysius of Halicarnassus,Roman Antiquities V (Bks 8-9.24),Gk,Y,Y,tlg0081,
G351,Demosthenes,Orations VI,Gk,Y,Y,tlg0014,
G354,Nonnus,Dionysiaca II (Bks 16-35),Gk,N,N,tlg2045,
G355,Dionysius of Halicarnassus,Roman Antiquities VI,Gk,Y,Y,tlg0081,
G356,Nonnus,Dionysiaca III (Bks 36-48),Gk,N,N,tlg2045,
G357,Dionysius of Halicarnassus,Roman Antiquities VII,Gk,Y,Y,tlg0081,
G358,Dio Chrysostom,Discourses III (31-36),Gk,Y,N,tlg0612,
G360,Clement of Alexandria,Stromata I (Bks 1-3),Gk,N,N,tlg0555,
G363,Philo,Works IX,Gk,Y,Y,tlg0018,
G364,Dionysius of Halicarnassus,Critical Essays I,Gk,Y,N,tlg0081,
G365,Josephus,VII: Jewish Antiquities (Bks 12-13),Gk,Y,Y,tlg0526,
G366,Aristotle,Generation of Animals,Gk,Y,Y,tlg0086,
G370,Demosthenes,Orations VII,Gk,Y,Y,tlg0014,
G372,[Various],"Minor Attic Orators II: Lycurgus, Dinarchus, etc.",Gk,Y,Y,,
G374,Demosthenes,"Orations (Funeral Speech, Erotic Essay, etc.)",Gk,Y,Y,tlg0014,
G375,Diodorus Siculus,Library of History IV,Gk,Y,Y,tlg0060,
G376,Dio Chrysostom,Discourses IV (37-60),Gk,Y,N,tlg0612,
G379,Philo,Works X,Gk,Y,Y,tlg0018,
G380,Philo,Supplement I: Questions on Genesis,Gk,N,N,tlg0018,Armenian source
G382,Sextus Empiricus,Against the Professors,Gk,Y,N,tlg0544,
G383,Alciphron/Aelian/Philostratus,Letters,Gk,N,N,,
G384,Diodorus Siculus,Library of History V,Gk,Y,Y,tlg0060,
G385,Dio Chrysostom,Discourses V (61-80),Gk,Y,N,tlg0612,
G388,Dionysius of Halicarnassus,Critical Essays II,Gk,Y,N,tlg0081,
G389,Diodorus Siculus,Library of History VII,Gk,Y,Y,tlg0060,
G390,Diodorus Siculus,Library of History VI,Gk,Y,Y,tlg0060,
G391,Aristotle,Posterior Analytics. Topica,Gk,Y,Y,tlg0086,
G395,Clement of Alexandria,Stromata II (Bks 4-5),Gk,N,N,tlg0555,
G397,Aristotle,Meteorologica,Gk,Y,Y,tlg0086,
G399,Diodorus Siculus,Library of History VIII,Gk,Y,Y,tlg0060,
G400,Aristotle,Sophistical Refutations. On Coming-to-be. On the Cosmos,Gk,Y,P,tlg0086,
G401,Philo,Supplement II: Questions on Exodus,Gk,N,N,tlg0018,Armenian source
G403,Isocrates,Works III,Gk,Y,Y,tlg0010,
G405,Plutarch,Moralia VII,Gk,Y,Y,tlg0007,
G406,Plutarch,Moralia XII,Gk,Y,Y,tlg0007,
G409,Diodorus Siculus,Library of History IX,Gk,Y,Y,tlg0060,
G410,Josephus,VIII: Jewish Antiquities (Bks 15-17),Gk,Y,Y,tlg0526,
G421,Callimachus,"Aetia, Iambi, Hecale. Hero and Leander",Gk,N,N,tlg0533,
G422,Diodorus Siculus,Library of History X,Gk,Y,Y,tlg0060,
G423,Diodorus Siculus,Library of History XI,Gk,Y,Y,tlg0060,
G424,Plutarch,Moralia VIII,Gk,Y,Y,tlg0007,
G425,Plutarch,Moralia IX,Gk,Y,Y,tlg0007,
G426,Plutarch,Moralia XI,Gk,Y,Y,tlg0007,
G427,Plutarch,Moralia XIII (Part 1),Gk,Y,Y,tlg0007,
G428,Plutarch,Moralia XIV,Gk,Y,Y,tlg0007,
G429,Plutarch,Moralia XV,Gk,Y,Y,tlg0007,
G430,Lucian,Works VI,Gk,Y,N,tlg0062,
G431,Lucian,Works VII,Gk,Y,N,tlg0062,
G432,Lucian,Works VIII,Gk,Y,N,tlg0062,
G433,Josephus,IX: Jewish Antiquities (Bks 18-19),Gk,Y,Y,tlg0526,
G437,Aristotle,History of Animals I (Bks 1-3),Gk,Y,N,tlg0086,
G438,Aristotle,History of Animals II (Bks 4-6),Gk,Y,N,tlg0086,
G439,Aristotle,History of Animals III (Bks 7-10),Gk,Y,N,tlg0086,
G440,Plotinus,Enneads I,Gk,N,N,tlg2000,
G441,Plotinus,Enneads II,Gk,N,N,tlg2000,
G442,Plotinus,Enneads III,Gk,N,N,tlg2000,
G443,Plotinus,Enneads IV,Gk,N,N,tlg2000,
G444,Plotinus,Enneads V,Gk,N,N,tlg2000,
G445,Plotinus,Enneads VI (1-5),Gk,N,N,tlg2000,
G446,Aelian,On Animals I,Gk,N,N,tlg0545,
G448,Aelian,On Animals II,Gk,N,N,tlg0545,
G449,Aelian,On Animals III,Gk,N,N,tlg0545,
G451,Libanius,Selected Orations I,Gk,N,N,tlg2200,
G452,Libanius,Selected Orations II,Gk,N,N,tlg2200,
G456,Josephus,X: Life. Against Apion (new ed),Gk,Y,Y,tlg0526,
G459,Menander,Vol II,Gk,P,N,tlg0541,
G460,Menander,Vol III,Gk,P,N,tlg0541,
G461,[Various],"Greek Lyric IV: Bacchylides, Corinna, etc.",Gk,Y,N,tlg0199,Bacchylides in Perseus
G465,Dionysius of Halicarnassus,Critical Essays I (new ed),Gk,Y,N,tlg0081,
G466,Dionysius of Halicarnassus,Critical Essays II (new ed),Gk,Y,N,tlg0081,
G468,Plotinus,Enneads VII (VI.6-9),Gk,N,N,tlg2000,
G470,Plutarch,Moralia XIII (Part 2),Gk,Y,Y,tlg0007,
G471,Theophrastus,De Causis Plantarum I,Gk,N,N,tlg0093,
G472,Hippocrates,Works V,Gk,Y,N,tlg0627,
G473,Hippocrates,Works VI,Gk,Y,N,tlg0627,
G474,Theophrastus,De Causis Plantarum II,Gk,N,N,tlg0093,
G475,Theophrastus,De Causis Plantarum III,Gk,N,N,tlg0093,
G476,[Various],"Greek Lyric III: Stesichorus, Ibycus, Simonides",Gk,P,N,,
G477,Hippocrates,Works VII,Gk,Y,N,tlg0627,
G478,Libanius,Autobiography & Letters I,Gk,N,N,tlg2200,
G479,Libanius,Autobiography & Letters II,Gk,N,N,tlg2200,
G482,Hippocrates,Works VIII,Gk,Y,N,tlg0627,
G483,Sophocles,Fragments,Gk,N,N,tlg0011,
G484,Euripides,Vol II (new): Children of Heracles. Hippolytus. etc.,Gk,Y,Y,tlg0006,
G485,Pindar,Vol II: Nemean. Isthmian. Fragments,Gk,Y,Y,tlg0033,
G486,Aelian,Historical Miscellany,Gk,N,N,tlg0545,
G488,Aristophanes,Vol II: Clouds. Wasps. Peace,Gk,Y,Y,tlg0019,
G495,Euripides,Vol VI (new): Bacchae. Iphigenia/Aulis. Rhesus,Gk,Y,Y,tlg0006,
G496,[Various],Homeric Hymns. Homeric Apocrypha. Lives of Homer,Gk,Y,Y,tlg0013,Hymns in Perseus
G497,[Various],Greek Epic Fragments,Gk,N,N,,
G499,Plutarch,Moralia XVI (Index),Gk,N,N,,Index volume
G502,Aristophanes,Fragments,Gk,N,N,tlg0019,
G503,Hesiod,Shield. Catalogue of Women. Other Fragments,Gk,P,P,tlg0020,Shield in Perseus
G504,Euripides,Fragments VII: Aegeus-Meleager,Gk,N,N,tlg0006,
G505,Aeschylus,Fragments,Gk,N,N,tlg0085,
G506,Euripides,Fragments VIII: Oedipus-Chrysippus,Gk,N,N,tlg0006,
G508,[Various],Hellenistic Collection,Gk,N,N,,
G509,Hippocrates,Works IX,Gk,N,N,tlg0627,
G513,[Various],Fragments of Old Comedy I,Gk,N,N,,
G514,[Various],Fragments of Old Comedy II,Gk,N,N,,
G515,[Various],Fragments of Old Comedy III,Gk,N,N,,
G516,Galen,Method of Medicine I,Gk,N,N,tlg0057,
G517,Galen,Method of Medicine II,Gk,N,N,tlg0057,
G518,Galen,Method of Medicine III,Gk,N,N,tlg0057,
G519,Athenaeus,Deipnosophists VIII (Bk 15 general index),Gk,N,N,tlg0008,
G520,Hippocrates,Works X,Gk,N,N,tlg0627,
G521,Philostratus,Heroicus. Gymnasticus. Discourses 1-2,Gk,N,N,tlg0638,
G523,Galen,Hygiene I,Gk,N,N,tlg0057,
G524,[Various],Early Greek Philosophy I,Gk,N,N,,
G525,[Various],Early Greek Philosophy II,Gk,N,N,,
G526,[Various],Early Greek Philosophy III,Gk,N,N,,
G527,[Various],Early Greek Philosophy IV,Gk,N,N,,
G528,[Various],Early Greek Philosophy V,Gk,N,N,,
G529,[Various],Early Greek Philosophy VI,Gk,N,N,,
G530,[Various],Early Greek Philosophy VII,Gk,N,N,,
G531,[Various],Early Greek Philosophy VIII,Gk,N,N,,
G532,[Various],Early Greek Philosophy IX,Gk,N,N,,
G533,Aelius Aristides,Orations I,Gk,N,N,tlg0284,
G535,Galen,Hygiene II,Gk,N,N,tlg0057,
G538,Hippocrates,Works XI,Gk,N,N,tlg0627,
G550,Callimachus,Miscellaneous Epics and Elegies,Gk,N,N,tlg0533,
G553,Maximus of Tyre,Philosophical Orations I,Gk,N,N,,
G554,Maximus of Tyre,Philosophical Orations II,Gk,N,N,,
G555,Aetius,Placita,Gk,N,N,,
G350,Manetho/Ptolemy,History of Egypt. Tetrabiblos,Gk,N,N,,
G362,[Various],Greek Mathematical Works II: Aristarchus to Pappus,Gk,N,N,,
